,0
2017-07-15,0.3654545454545455
2017-07-17,0.5
2017-07-22,0.0
2017-07-26,0.65
2017-08-03,0.23333333333333336
2017-08-05,0.0642857142857143
2017-08-12,0.1
2017-08-14,-0.23333333333333328
2017-08-17,-0.09999999999999999
2017-08-22,0.0
2017-08-24,0.0
2017-08-25,0.3
2017-08-26,0.6
2017-08-27,0.44000000000000006
2017-09-03,-0.125
2017-09-05,0.0
2017-09-07,0.5
2017-09-08,0.0
2017-09-12,0.8
2017-09-19,0.8
2017-09-20,0.8
2017-09-21,0.0
2017-09-22,0.0
2017-09-23,0.10714285714285714
2017-09-28,0.2020833333333333
2017-09-29,0.6000000000000001
2017-09-30,-0.024999999999999994
2017-10-02,-1.0
2017-10-03,0.3166666666666667
2017-10-05,-0.25
2017-10-06,-0.8
2017-10-09,0.0
2017-10-10,0.26666666666666666
2017-10-11,0.4
2017-10-12,0.8
2017-10-13,0.0
2017-10-16,0.8625
2017-10-19,0.8
2017-10-21,0.3833333333333333
2017-10-26,0.3
2017-10-31,0.13636363636363635
2017-11-01,-0.4
2017-11-02,0.4
2017-11-04,0.26545454545454544
2017-11-05,0.0
2017-11-09,0.2586666666666667
2017-11-11,0.0
2017-11-12,0.0
2017-11-15,-0.29333333333333333
2017-11-23,0.2857142857142857
2017-11-24,-0.02187499999999999
2017-11-26,0.3
2017-11-29,0.525
2017-11-30,0.0
2017-12-04,0.4
2017-12-06,0.0
2017-12-08,0.0
2017-12-09,0.2333333333333333
2017-12-10,-0.27625
2017-12-12,0.6
2017-12-13,0.3
2017-12-14,0.42
2017-12-18,0.2
2017-12-21,0.8
2017-12-22,-0.13333333333333333
2017-12-25,0.5333333333333333
2018-01-01,0.37878787878787873
2018-01-11,-0.2
2018-01-15,-0.05
2018-01-16,0.0
2018-01-17,0.32222222222222224
2018-01-18,0.15000000000000002
2018-01-19,0.675
2018-01-22,0.0
2018-01-23,0.16363636363636366
2018-01-27,0.5875
2018-01-30,0.39999999999999997
2018-01-31,0.13636363636363635
2018-02-06,0.0
2018-02-08,0.4
2018-02-09,-0.0069444444444444545
2018-02-10,0.2325
2018-02-15,0.0
2018-02-16,-0.275
2018-02-19,0.0
2018-02-24,-0.15
2018-02-25,0.4
2018-02-28,0.2833333333333333
2018-03-02,0.0
2018-03-03,0.05416666666666668
2018-03-08,0.0
2018-03-14,0.23611111111111113
2018-03-17,0.25
2018-03-19,0.0
2018-03-26,0.8
2018-03-27,0.41666666666666674
2018-03-30,0.0
2018-04-01,0.0
2018-04-03,0.25
2018-04-04,0.0
2018-04-07,0.5
2018-04-09,0.8
2018-04-18,0.4
2018-04-20,0.7
2018-04-21,-0.3
2018-04-22,0.6183333333333333
2018-04-23,0.06888888888888889
2018-04-24,0.4
2018-05-01,0.7666666666666666
2018-05-03,0.0
2018-05-04,0.125
2018-05-06,0.13636363636363635
2018-05-08,-0.033333333333333326
2018-05-10,0.31214285714285717
2018-05-11,-0.16666666666666666
2018-05-13,-0.23333333333333328
2018-05-17,0.17500000000000002
2018-05-18,0.39166666666666666
2018-05-25,-0.3499999999999999
2018-05-28,0.44571428571428573
2018-06-04,0.8333333333333334
2018-06-06,0.5833333333333334
2018-06-14,0.8
2018-06-17,-0.08749999999999998
2018-06-18,1.0
2018-06-19,0.1
2018-06-22,0.2875
2018-06-24,0.19999999999999998
2018-06-29,0.634090909090909
2018-07-01,0.06233766233766234
2018-07-04,0.0796875
2018-07-10,0.16785714285714287
2018-07-13,0.0
2018-07-15,0.6583333333333333
2018-07-18,0.0
2018-07-20,-0.012500000000000011
2018-07-25,0.09375
2018-07-26,0.0
2018-07-29,-0.18
2018-08-04,-0.35499999999999987
2018-08-09,0.26666666666666666
2018-08-13,0.41590909090909095
2018-08-16,-0.2333333333333333
2018-08-19,-0.3
2018-08-23,0.3
2018-08-25,0.16
2018-08-26,0.15000000000000002
2018-08-28,0.0
2018-09-01,-0.13333333333333328
2018-09-03,-0.06666666666666667
2018-09-09,0.08
2018-09-12,0.8
2018-09-14,0.3
2018-09-15,0.1
2018-09-16,0.6
2018-09-17,0.19571428571428576
2018-09-18,0.0
2018-09-19,0.4172727272727273
2018-09-21,0.0
2018-09-23,0.42500000000000004
2018-09-24,0.5787878787878787
2018-09-28,0.775
2018-10-01,0.3
2018-10-02,0.9
2018-10-03,0.8
2018-10-05,1.0
2018-10-11,0.0
2018-10-15,0.225
2018-10-18,0.0
2018-10-21,-0.2708333333333333
2018-10-22,0.0
2018-10-23,0.0
2018-10-24,0.8
2018-10-25,0.19333333333333333
2018-10-26,0.0
2018-10-27,-0.9
2018-10-28,0.050000000000000024
2018-10-29,0.8
2018-10-30,0.033611111111111105
2018-11-04,0.4000000000000001
2018-11-06,0.4
2018-11-07,0.02500000000000001
2018-11-08,0.35000000000000003
2018-11-09,0.20833333333333334
2018-11-10,0.25555555555555554
2018-11-11,0.8
2018-11-14,0.2859659090909091
2018-11-18,0.5125
2018-11-21,-0.06462585034013607
2018-11-22,-0.030833333333333338
2018-11-24,-0.19999999999999998
2018-11-27,0.02500000000000001
2018-11-29,0.06944444444444443
2018-11-30,0.65
2018-12-01,0.0
2018-12-02,0.9
2018-12-04,0.3166666666666667
2018-12-05,0.25
2018-12-06,0.0
2018-12-08,0.4000000000000001
2018-12-10,0.20833333333333334
2018-12-11,0.13888888888888887
2018-12-13,0.14285714285714285
2018-12-15,-0.006666666666666665
2018-12-19,0.3
2018-12-25,0.21079545454545456
2018-12-26,0.04999999999999999
2018-12-27,0.021428571428571432
2015-01-02,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-10,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-17,1.0
2015-01-18,0.3
2015-01-20,0.8
2015-01-21,-0.4
2015-01-22,0.8
2015-01-26,-0.1159090909090909
2015-01-27,1.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.6
2015-02-01,-0.7142857142857143
2015-02-02,1.0
2015-02-03,1.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.8
2015-02-07,-0.5666666666666665
2015-02-08,0.0
2015-02-09,0.5
2015-02-10,0.0
2015-02-11,0.04444444444444445
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,-0.3
2015-02-15,0.6000000000000001
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,-0.2916666666666667
2015-02-21,0.0
2015-02-22,0.78
2015-02-26,0.0
2015-02-27,0.1
2015-02-28,0.0
2015-03-01,-0.3333333333333333
2015-03-03,0.4216666666666667
2015-03-04,0.8
2015-03-05,0.0
2015-03-06,-0.4
2015-03-08,0.0
2015-03-10,1.0
2015-03-11,0.0
2015-03-12,0.25
2015-03-13,0.16818181818181818
2015-03-14,0.0
2015-03-16,0.0
2015-03-17,-0.04722222222222224
2015-03-18,0.0
2015-03-19,1.0
2015-03-20,0.0
2015-03-23,-0.15555555555555559
2015-03-24,0.4
2015-03-25,-0.025
2015-03-26,0.14285714285714285
2015-03-29,-0.5777777777777778
2015-03-31,0.10000000000000003
2015-04-01,0.08863636363636362
2015-04-02,0.21250000000000002
2015-04-03,-0.13333333333333333
2015-04-04,-0.09583333333333334
2015-04-05,0.6
2015-04-06,0.8
2015-04-07,0.3666666666666667
2015-04-09,0.43333333333333335
2015-04-11,0.6666666666666666
2015-04-12,0.2857142857142857
2015-04-13,0.0037878787878787845
2015-04-14,0.35000000000000003
2015-04-16,0.0
2015-04-17,0.0
2015-04-19,-0.20277777777777778
2015-04-21,0.2520833333333333
2015-04-25,0.1
2015-04-28,0.19305555555555562
2015-04-29,0.7
2015-05-01,0.5750000000000001
2015-05-02,0.26666666666666666
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.54375
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.8
2015-05-11,-0.16999999999999998
2015-05-12,0.8
2015-05-13,0.35
2015-05-14,-0.5
2015-05-16,-0.4
2015-05-18,0.8
