,0
2017-08-14,0.0
2017-08-17,0.0
2017-08-22,0.75
2017-08-24,0.8
2017-08-25,0.3072727272727273
2017-08-26,0.4666666666666666
2017-08-27,0.0
2017-09-03,0.0
2017-09-05,0.2
2017-09-07,0.4
2017-09-08,0.65
2017-09-12,0.2833333333333333
2017-09-19,0.0
2017-09-20,0.8
2017-09-21,0.0
2017-09-22,0.19318181818181818
2017-09-23,0.29090909090909095
2017-09-28,0.2619047619047619
2017-09-29,0.25
2017-09-30,0.0
2017-10-02,0.7
2017-10-03,0.8
2017-10-05,0.75
2017-10-06,0.25
2017-10-09,0.0
2017-10-10,0.5
2017-10-11,0.44000000000000006
2017-10-12,1.0
2017-10-13,0.6666666666666666
2017-10-16,0.5
2017-10-19,0.65
2017-10-21,0.4777777777777778
2017-10-26,0.22727272727272727
2017-10-31,0.35656565656565653
2017-11-01,0.0
2017-11-02,0.0
2017-11-04,0.44999999999999996
2017-11-05,-0.7
2017-11-09,0.5333333333333333
2017-11-11,0.8
2017-11-12,0.45
2017-11-15,0.4
2017-11-23,0.75
2017-11-24,0.0
2017-11-26,0.8
2017-11-29,0.2
2017-11-30,0.22999999999999998
2017-12-04,0.11212121212121212
2017-12-06,0.25
2017-12-08,0.7
2017-12-09,0.46666666666666673
2017-12-10,0.2
2017-12-12,0.175
2017-12-13,0.4590909090909091
2017-12-14,0.0
2017-12-18,0.0
2017-12-21,0.3181818181818182
2017-12-22,0.6
2017-12-25,0.25
2018-01-01,0.0906060606060606
2018-01-11,0.25
2018-01-15,0.13636363636363635
2018-01-16,0.4333333333333334
2018-01-17,0.1340909090909091
2018-01-18,0.23749999999999996
2018-01-19,0.15
2018-01-22,0.375
2018-01-23,0.0
2018-01-27,-0.35833333333333334
2018-01-30,0.39999999999999997
2018-01-31,0.7
2018-02-06,0.5492063492063491
2018-02-08,0.35
2018-02-09,0.2556818181818182
2018-02-10,0.0
2018-02-15,0.5666666666666667
2018-02-16,0.65
2018-02-19,0.2857142857142857
2018-02-24,0.0
2018-02-25,0.7
2018-02-28,0.8
2018-03-02,0.4
2018-03-03,0.39999999999999997
2018-03-08,0.125
2018-03-14,1.0
2018-03-17,0.8
2018-03-19,0.25
2018-03-26,0.4
2018-03-27,0.26875
2018-03-30,0.0
2018-04-01,0.4
2018-04-03,0.0
2018-04-04,0.2965909090909091
2018-04-07,-0.75
2018-04-09,-0.05
2018-04-18,0.25
2018-04-20,0.13636363636363635
2018-04-21,0.2
2018-04-22,0.8
2018-04-23,0.20000000000000004
2018-04-24,0.25
2018-05-01,-0.05
2018-05-03,0.45
2018-05-04,0.0
2018-05-06,0.13636363636363635
2018-05-08,0.4
2018-05-10,0.275
2018-05-11,0.1875
2018-05-13,0.0
2018-05-17,0.6
2018-05-18,-0.295
2018-05-25,0.0
2018-05-28,0.0
2018-06-04,0.7
2018-06-06,0.25
2018-06-14,0.7
2018-06-17,0.4583333333333333
2018-06-18,0.0
2018-06-19,0.5
2018-06-22,0.26666666666666666
2018-06-24,0.8
2018-06-29,0.4
2018-07-01,0.49583333333333335
2018-07-04,0.3
2018-07-10,0.45
2018-07-13,0.4121212121212121
2018-07-15,0.0
2018-07-18,0.4
2018-07-20,1.0
2018-07-25,0.11666666666666665
2018-07-26,0.33499999999999996
2018-07-29,0.25833333333333336
2018-08-04,0.25416666666666665
2018-08-09,0.10000000000000002
2018-08-13,0.8
2018-08-16,0.6
2018-08-19,0.8333333333333334
2018-08-23,0.6
2018-08-25,0.47159090909090906
2018-08-26,0.2375
2018-08-28,0.37878787878787873
2018-09-01,0.5392857142857143
2018-09-03,0.6666666666666666
2018-09-09,0.19318181818181818
2018-09-12,0.2816666666666666
2018-09-14,0.1875
2018-09-15,0.07916666666666666
2018-09-16,0.8
2018-09-17,-0.09722222222222222
2018-09-18,0.0
2018-09-19,0.21875000000000003
2018-09-21,0.4121212121212121
2018-09-23,0.6
2018-09-24,0.2928571428571428
2018-09-28,0.775
2018-10-01,0.475
2018-10-02,-0.07500000000000001
2018-10-03,0.0
2018-10-05,0.0
2018-10-11,0.0
2018-10-15,0.7
2018-10-18,0.16666666666666666
2018-10-21,0.26666666666666666
2018-10-22,0.3277777777777778
2018-10-23,0.4227272727272727
2018-10-24,0.5857142857142856
2018-10-25,0.2
2018-10-26,0.39
2018-10-27,-0.275
2018-10-28,-0.1166666666666667
2018-10-29,0.4
2018-10-30,0.4371212121212122
2018-11-04,0.6000000000000001
2018-11-06,0.5
2018-11-07,0.6833333333333335
2018-11-08,0.8
2018-11-09,0.3625
2018-11-10,0.3287878787878788
2018-11-11,0.041666666666666664
2018-11-14,0.65
2018-11-18,0.225
2018-11-21,0.5
2018-11-22,-0.02121212121212122
2018-11-24,0.0
2018-11-27,0.5800000000000001
