date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-10-27 22:07:05,tim_cook,sadyspaul,63,566,2385,"Thanks to the talented @sadyspaul for editing an amazing video and being a part of our event today.https://twitter.com/sadyspaul/status/791759188623921153 …",,@sadyspaul,,791763172411609088,https://twitter.com/tim_cook/status/791763172411609088
2016-10-27 16:03:25,tim_cook,,134,1232,4157,"Looking forward to an exciting day here on campus! #AppleEventpic.twitter.com/mi91C7XzVu",,,#AppleEventpic,791671652106973184,https://twitter.com/tim_cook/status/791671652106973184
2016-10-17 19:54:59,tim_cook,,112,662,1830,"""The American melting pot, with its new eyes and new imagi­nations, is an incubator for innovation."" @laurenepowellhttp://bit.ly/2e9iNbl",,@laurenepowellhttp,,788106049853136897,https://twitter.com/tim_cook/status/788106049853136897
2016-10-15 06:08:14,tim_cook,,133,2388,5283,"ありがとうpic.twitter.com/Xixe0SupG9",,,,787173214808080384,https://twitter.com/tim_cook/status/787173214808080384
2016-10-15 05:55:04,tim_cook,,54,623,2627,"Inspired by the Sendai spirit among our store team, as well as customers and local developers.pic.twitter.com/YKrgW6VzG4",,,,787169902687838208,https://twitter.com/tim_cook/status/787169902687838208
2016-10-15 03:31:43,tim_cook,,72,553,2756,"Celebrating a decade of partnership with the talented team at Cashew in Saitama, experts in plant-based coatings and resins.pic.twitter.com/3C1iPfvDSs",,,,787133827672055808,https://twitter.com/tim_cook/status/787133827672055808
2016-10-13 10:15:18,tim_cook,,203,2343,5461,"Just rode JRE's Yamanote line with Apple Pay. Can't wait for our customers in Japan to start using it later this month.pic.twitter.com/mMcK3iIaS4",,,,786510615321931776,https://twitter.com/tim_cook/status/786510615321931776
2016-10-13 01:34:39,tim_cook,,254,5662,13656,"Getting the hang of Super Mario Run, thanks to Miyamoto-san and his awesome team at Nintendo!pic.twitter.com/gSxU4iQbAv",,,,786379589832601600,https://twitter.com/tim_cook/status/786379589832601600
2016-10-10 17:07:44,tim_cook,,66,478,1733,"Our thoughts are with all those affected by #HurricaneMatthew. Support relief efforts by donating to @RedCross at http://apple.co/RedCross",,@RedCross,#HurricaneMatthew,785527246408646656,https://twitter.com/tim_cook/status/785527246408646656
2016-10-08 00:41:27,tim_cook,,272,1392,4992,"Shukriya India and everyone who turned out for Friday’s launch of iPhone 7 and Apple Watch Series 2! pic.twitter.com/EyxVKgRH0F",,,,784554265704534016,https://twitter.com/tim_cook/status/784554265704534016
2016-10-07 16:00:12,tim_cook,,60,479,1960,"I could swear this is heaven #OhMyMy @OneRepublic Amazing album! pic.twitter.com/ZjWa95O8GA",,@OneRepublic,#OhMyMy,784423087940866048,https://twitter.com/tim_cook/status/784423087940866048
2016-10-07 00:40:28,tim_cook,,108,1231,3822,"Prayers for all those affected by #HurricaneMatthew. To those in its path tonight, please stay safe.",,,#HurricaneMatthew,784191628240035841,https://twitter.com/tim_cook/status/784191628240035841
2016-10-05 13:39:11,tim_cook,,593,27324,30631,"""Most important, have the courage to follow your heart and intuition."" Remembering Steve and the many ways he changed our world.pic.twitter.com/ONAuEoq3uU",,,,783662822819401728,https://twitter.com/tim_cook/status/783662822819401728
2016-10-01 03:12:35,tim_cook,senorrinhatch,53,247,1116,"Thanks @SenOrrinHatch and everyone who attended tonight's event in Salt Lake City! #UtahTechTourhttps://twitter.com/senorrinhatch/status/782049970996203520 …",,@SenOrrinHatch,#UtahTechTourhttps,782055583889317892,https://twitter.com/tim_cook/status/782055583889317892
2016-09-28 23:01:35,tim_cook,,89,830,1961,"Excited to work with @PunitRenjen @Deloitte to help businesses maximize the amazing capabilities of iOS,iPhone, iPad http://nr.apple.com/dE3a4J0q3B",,@PunitRenjen @Deloitte,,781267638941061121,https://twitter.com/tim_cook/status/781267638941061121
2016-09-28 03:28:12,tim_cook,,250,1527,5057,"Condolences to the people of Israel on the passing of Shimon Peres, a true visionary whose efforts for peace will never be forgotten.",,,,780972348866301952,https://twitter.com/tim_cook/status/780972348866301952
2016-09-25 00:40:17,tim_cook,,121,1149,2919,"¡Gracias México por recibirnos! http://nr.apple.com/dE3a8p8z4N",,,,779842927174430720,https://twitter.com/tim_cook/status/779842927174430720
2016-09-17 03:06:36,tim_cook,,345,7075,12323,"A very happy birthday to @narendramodi. Vasudhaiva kutumbakam - the world is one family.",,@narendramodi,,776980648653312000,https://twitter.com/tim_cook/status/776980648653312000
2016-09-16 19:03:34,tim_cook,,265,1517,7017,"Thank you to the Apple Store employees around the world who make days like today magical!pic.twitter.com/eZ6brPM0vk",,,,776859086902038528,https://twitter.com/tim_cook/status/776859086902038528
2016-09-16 11:27:06,tim_cook,,304,1718,4646,"It’s time! #iPhone7 and #AppleWatchSeries2 are here!http://www.apple.com/newsroom/2016/09/iphone-7-and-apple-watch-series-2-arrive-in-stores.html …",,,#iPhone7 #AppleWatchSeries2,776744212939149312,https://twitter.com/tim_cook/status/776744212939149312
2016-09-15 01:23:54,tim_cook,,38,203,860,"Congrats to @XQAmerica’s 10 Super Schools! Learn more about the #XQBigReveal #RethinkHighSchoolhttp://xqsuperschool.org",,@XQAmerica,#XQBigReveal #RethinkHighSchoolhttp,776230026010255360,https://twitter.com/tim_cook/status/776230026010255360
2016-09-14 19:51:51,tim_cook,,139,1573,3566,"Stunning iPhone 7 photos from Rwanda, by travel photographer @austinmannhttp://www.nationalgeographic.com/travel/photography/8-tips-taking-travel-pictures-with-the-iphone7/ …",,@austinmannhttp,,776146462845435904,https://twitter.com/tim_cook/status/776146462845435904
2016-09-14 01:08:09,tim_cook,,100,584,3206,"Thanks PS 161 in NYC for a great visit. Inspiring to see how teachers use iPad to make a big difference for studentspic.twitter.com/j8W44SWKOR",,,,775863674586144769,https://twitter.com/tim_cook/status/775863674586144769
2016-09-12 11:47:11,tim_cook,,124,811,2038,". @ESPN serves up iPhone 7 shots from the #usopen http://www.espn.com/espn/feature/story/_/id/17496880/first-ever-iphone-7-photos-2016-us-open …",,@ESPN,#usopen,775299715143434240,https://twitter.com/tim_cook/status/775299715143434240
2016-09-11 23:38:51,tim_cook,,223,1966,4176,"Touchdown iPhone 7! First photos on @SInowhttp://www.si.com/nfl/photo/2016/09/11/iphone-7-plus-sneak-preview-photos …",,@SInowhttp,,775116424171941888,https://twitter.com/tim_cook/status/775116424171941888
2016-09-08 01:54:13,tim_cook,,331,2140,5553,"What a day! https://m.youtube.com/watch?v=GeoUELDgyM4 …",,,,773700941996433409,https://twitter.com/tim_cook/status/773700941996433409
2016-09-07 22:10:35,tim_cook,,73,743,3576,"Thanks to Olympians @ryan_f_murphy @nathangadrian @KathleenBaker2 @SwimHaley @MJGold for joining today #AppleEvent!pic.twitter.com/rtn4PWYq7K",,@ryan_f_murphy @nathangadrian @KathleenBaker2 @SwimHaley @MJGold,#AppleEvent,773644659469918209,https://twitter.com/tim_cook/status/773644659469918209
2016-09-07 14:37:20,tim_cook,,760,9156,21587,"Sun's coming up in San Francisco and we are ready for a big day!pic.twitter.com/PgLZN7ZcrQ",,,,773530595284529152,https://twitter.com/tim_cook/status/773530595284529152
2016-09-02 03:58:37,tim_cook,,187,1886,3949,"¡Hola Mexico! ¡Vengan a celebrar! https://www.apple.com/mx/retail/viasantafe/ …pic.twitter.com/UkaLsq5Wj6",,,,771557920572002304,https://twitter.com/tim_cook/status/771557920572002304
2016-08-24 05:13:17,tim_cook,,215,2187,5481,"Vicini con affetto e con il cuore rivolto alle vittime.",,,,768315220703924225,https://twitter.com/tim_cook/status/768315220703924225
2016-08-07 14:03:09,tim_cook,,189,1097,4990,"We owe @NatlParkService a debt of gratitude for 100 amazing years. by hiking @YellowstoneNPS @GrandTetonNPSpic.twitter.com/PGGwukKRto",,@NatlParkService @YellowstoneNPS @GrandTetonNPSpic,,762287969235443713,https://twitter.com/tim_cook/status/762287969235443713
2016-08-03 20:05:35,tim_cook,,219,1602,4737,". @AppStore developers have now earned over $50 billion! Congratulations on your success and such inspired creativity.",,@AppStore,,760929629226041345,https://twitter.com/tim_cook/status/760929629226041345
2016-08-03 20:04:51,tim_cook,,140,824,2673,"July was a record-breaker for the @AppStore! Highest-ever monthly billings and money paid to developers.",,@AppStore,,760929444886351872,https://twitter.com/tim_cook/status/760929444886351872
2016-07-31 01:09:38,tim_cook,,130,549,2633,"Thanks to everyone who joined the grand opening of our new store in Brooklyn, and congrats to our team! http://nr.apple.com/dE4O4J5G2b",,,,759556594837225474,https://twitter.com/tim_cook/status/759556594837225474
2016-07-22 22:42:14,tim_cook,,114,1119,3783,"Wir sind bestürzt über die Ereignisse in München. Unsere Gedanken sind bei allen Menschen in der Stadt. #Munich",,,#Munich,756620395168407552,https://twitter.com/tim_cook/status/756620395168407552
2016-07-14 23:16:47,tim_cook,,154,3241,6051,"La France est dans nos coeurs et nos pensées. #Nice",,,#Nice,753729989816688640,https://twitter.com/tim_cook/status/753729989816688640
2016-07-14 20:28:44,tim_cook,,114,895,2313,"Yes, coding CAN be fun! Your kids (and you) are going to love Swift Playgrounds!http://www.macworld.com/article/3095824/ios/meet-swift-playgrounds-the-learn-to-code-ipad-app-that-feels-like-a-puzzle-game.html …",,,,753687695398797313,https://twitter.com/tim_cook/status/753687695398797313
2016-07-10 18:19:00,tim_cook,,112,969,2271,"Proud of our talented team dedicated to providing #accessibility for all usershttp://mashable.com/2016/07/10/apple-innovation-blind-engineer/ …",,,#accessibility,752205497390931968,https://twitter.com/tim_cook/status/752205497390931968
2016-07-08 14:15:29,tim_cook,,200,5124,9634,"""We must all learn to live together as brothers, or we will all perish together as fools.” - Dr. Martin Luther King Jr.",,,,751419437761253376,https://twitter.com/tim_cook/status/751419437761253376
2016-07-08 14:14:35,tim_cook,,82,1304,4123,"Our hearts go out to the families of the fallen officers and the entire #Dallas community. Justice cannot be gained through violence.",,,#Dallas,751419213122678784,https://twitter.com/tim_cook/status/751419213122678784
2016-07-08 02:50:47,tim_cook,repjohnlewis,114,1905,4051,"Senseless killings this week remind us that justice is still out of reach for many. We can and must do better.https://twitter.com/repjohnlewis/status/751049575893504001 …",,,,751247130048630784,https://twitter.com/tim_cook/status/751247130048630784
